"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","22-April-2018","-0.4","ACTUAL","100.0","11.5","ACTUAL","100.0","5.6","AGGREGATED","100.0","38.5","AGGREGATED","100.0","15.1","AGGREGATED","100.0"
"Calgary Int'L CS","23-April-2018","-1.8","ACTUAL","100.0","13.2","ACTUAL","100.0","6.4","AGGREGATED","100.0","46.7","AGGREGATED","100.0","13.3","AGGREGATED","100.0"
"Calgary Int'L CS","24-April-2018","-1.2","ACTUAL","100.0","21.0","ACTUAL","100.0","10.8","AGGREGATED","100.0","31.9","AGGREGATED","100.0","9.8","AGGREGATED","100.0"
"Calgary Int'L CS","25-April-2018","3.3","ACTUAL","100.0","14.6","ACTUAL","100.0","9.0","AGGREGATED","100.0","42.0","AGGREGATED","100.0","17.5","AGGREGATED","100.0"
"Calgary Int'L CS","26-April-2018","0.8","ACTUAL","100.0","21.3","ACTUAL","100.0","11.9","AGGREGATED","100.0","41.4","AGGREGATED","100.0","7.8","AGGREGATED","100.0"
"Calgary Int'L CS","27-April-2018","2.5","ACTUAL","100.0","22.9","ACTUAL","100.0","13.4","AGGREGATED","100.0","43.9","AGGREGATED","100.0","17.6","AGGREGATED","100.0"
"Calgary Int'L CS","28-April-2018","1.2","ACTUAL","100.0","26.3","ACTUAL","100.0","16.0","AGGREGATED","100.0","33.8","AGGREGATED","100.0","9.3","AGGREGATED","100.0"
"Calgary Int'L CS","29-April-2018","2.1","ACTUAL","100.0","17.6","ACTUAL","100.0","7.1","AGGREGATED","100.0","73.7","AGGREGATED","100.0","26.8","AGGREGATED","100.0"
"Calgary Int'L CS","30-April-2018","1.6","ACTUAL","100.0","13.2","ACTUAL","100.0","6.5","AGGREGATED","100.0","71.3","AGGREGATED","100.0","7.7","AGGREGATED","100.0"
"Calgary Int'L CS","01-May-2018","4.6","ACTUAL","100.0","13.2","ACTUAL","100.0","8.4","AGGREGATED","100.0","50.0","AGGREGATED","100.0","19.6","AGGREGATED","100.0"
"Calgary Int'L CS","02-May-2018","-1.0","ACTUAL","100.0","20.3","ACTUAL","100.0","11.0","AGGREGATED","100.0","42.5","AGGREGATED","100.0","14.5","AGGREGATED","100.0"
"Calgary Int'L CS","03-May-2018","2.0","ACTUAL","100.0","22.1","ACTUAL","100.0","13.4","AGGREGATED","100.0","35.6","AGGREGATED","100.0","17.2","AGGREGATED","100.0"
"Calgary Int'L CS","04-May-2018","7.0","ACTUAL","100.0","21.2","ACTUAL","100.0","14.8","AGGREGATED","100.0","40.7","AGGREGATED","100.0","13.2","AGGREGATED","100.0"
"Calgary Int'L CS","05-May-2018","4.9","ACTUAL","100.0","20.8","ACTUAL","100.0","13.0","AGGREGATED","100.0","51.8","AGGREGATED","100.0","7.6","AGGREGATED","100.0"
