year,month,day,hour,minute,open,close,high,low,volume,number_of_trades
2023,4,3,19,30,28122.92,28167.79,28174.27,28113.5,3.26673504,74
2023,4,3,20,30,27770,27804.45,27823.7,27678.37,17.13600807,203
2023,4,3,21,30,27533.61,27562.97,27591.9,27505.46,1.23224345,79
2023,4,3,22,30,27917.2,27855.59,27957.88,27855.59,0.60575448,76
2023,4,3,23,30,27892.89,27860.21,27905.65,27801.99,6.45648038,117
2023,4,4,1,30,27876.63,27831.1,27897.89,27791.66,1.42189373,86
2023,4,4,2,30,27917.6,27932.12,27951.99,27886.97,1.90985259,70
2023,4,4,3,30,27939.38,27888.85,27960.71,27885.39,0.96195089,59
2023,4,4,4,30,27862.99,27792.48,27862.99,27790.48,1.32561379,52
2023,4,4,5,30,27899.81,27896.41,27935.56,27889.93,0.36827539,41
2023,4,4,6,30,27918.87,28026.42,28083.97,27889.25,1.13516138,130
2023,4,4,7,30,28042.51,27988.83,28042.51,27983.19,0.2512762,37
2023,4,4,8,30,28021,28094,28094,28021,0.0034581,18
2023,4,4,9,30,28083.62,28162.63,28181.27,28083.62,1.02620975,49
2023,4,4,10,30,28256.87,28201.99,28293.51,28201.99,0.29001494,64
2023,4,4,11,30,28294.98,28249.25,28331.67,28176.4,5.62710355,156
2023,4,4,12,30,28328.29,28246.32,28379.39,28221.7,1.135623,81
2023,4,4,13,30,28278.12,28182.45,28304.4,28182.45,3.24024633,175
2023,4,4,14,30,28179.25,28185.64,28267.77,28175.08,5.02521116,114
2023,4,4,15,30,28016.93,28065.29,28087.2,27978.03,9.07507344,1259
2023,4,4,16,30,28065.46,28124.15,28124.15,28033.14,2.86010307,92
2023,4,4,17,30,28160.7,28223.88,28240.37,28158.52,4.47634477,104
2023,4,4,18,30,28134.65,28181.51,28186.5,28116.03,4.24936234,98
2023,4,4,19,30,28093.38,28148.39,28160.66,28093.38,5.77080543,133
2023,4,4,20,30,28186.65,28255.89,28291.08,28186.48,14.85656183,165
2023,3,31,15,45,28417.89,28499.62,28500,28371.39,0.83286799,95
2023,3,31,16,45,28386.58,28431.28,28435.1,28372.21,1.86380188,87
2023,3,31,17,45,28293.42,28334.37,28345.05,28292.25,10.7609161,164
2023,3,31,18,45,28370.4,28319.14,28416.85,28319.14,1.67897807,74
2023,3,31,19,45,28463.55,28472.47,28510.79,28425.58,6.53036505,134
2023,3,31,20,45,28450.35,28404.23,28486.39,28387.29,7.32907026,174
2023,3,31,21,45,28493.81,28489.6,28595.52,28478.27,5.48238631,162
2023,3,31,22,45,28575.91,28587.79,28599.21,28555.83,0.68091105,54
2023,3,31,23,45,28493.95,28486.15,28518.82,28484.81,0.39884383,38
2023,4,1,0,45,28466.71,28457.59,28466.71,28428.81,0.5381582,53
2023,4,1,1,45,28489.47,28603.09,28623.56,28483.2,5.7725865,125
2023,4,1,2,45,28544.93,28604.51,28609.57,28538.66,5.1547684,87
2023,4,1,3,45,28557.53,28555.35,28579.26,28549.94,0.24420177,44
2023,4,1,4,45,28608.19,28597.77,28635,28587.12,4.12476704,79
2023,4,1,5,45,28575.6,28579.59,28584.45,28573.97,0.03315581,19
2023,4,1,6,45,28498.03,28492.43,28500,28481.98,0.54777657,45
2023,4,1,7,45,28410.2,28440.65,28457.84,28410.2,0.01185222,11
2023,4,1,8,45,28491.01,28454.44,28497.95,28454.44,0.33805611,38
2023,4,1,9,45,28473.16,28441.95,28473.16,28440.88,0.36783459,35
2023,4,1,10,45,28455.76,28474.65,28474.65,28445.86,0.00668175,10
2023,4,1,11,45,28439.49,28386.15,28439.49,28382.47,3.56413686,75
2023,4,1,12,45,28417.3,28432.74,28444.36,28390.04,0.16423919,31
