Property Id,Property_Type,Number of Buildings,Year_Built,Property_GFA,Site_Energy,Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Emissions_CO2,Emissions_Intensity,Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity,Natural_Gas,Year Ending,Precipitation,Corn_Heat_Unit,Heating_Degree_Days,Cooling_Degree_Days
9637753,Office,1,1992,3783.3,4801.2,4905.8,1.27,1.3,6333.9,6393.7,1.67,1.69,461.5,122,166.3,44,434140.5,3238.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9639310,Fire Station,1,1975,1669.9,2280.1,2358.3,1.37,1.41,2874.3,2931.9,1.72,1.76,199.8,119.7,86.2,51.6,167086.1,1678.6,2021,"1,249.10","2,305.00","4,916.10",151.5
9640461,Fire Station,1,2003,1385.4,2050.7,2043.8,1.48,1.48,2635.2,2608.4,1.9,1.88,187,134.9,74.8,54,164900,1457.1,2021,"1,249.10","2,305.00","4,916.10",151.5
9642577,Fire Station,1,2012,2110.4,2449.7,2478.6,1.16,1.17,3183.7,3212.9,1.51,1.52,227.8,107.9,86.6,41.1,207517,1687.4,2021,"1,249.10","2,305.00","4,916.10",151.5
9649332,Fire Station,1,2016,1895.2,1954.7,1990.3,1.03,1.05,2452.5,2495.9,1.29,1.32,163,86,67.7,35.7,140226,1317.5,2021,"1,249.10","2,305.00","4,916.10",151.5
9662776,Fire Station,1,1979,1132.7,1200.6,1199.9,1.06,1.06,1578.3,1577.5,1.39,1.39,114.6,101.2,41.9,37,106914.2,815.8,2021,"1,249.10","2,305.00","4,916.10",151.5
9664992,Fire Station,1,1978,1072.2,1138,1130.9,1.06,1.05,1513.6,1498.7,1.41,1.4,111.2,103.7,38.8,36.1,106489.3,754.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9769634,Fire Station,1,2014,2319.5,2184.9,2268.5,0.94,0.98,3027.9,3112.4,1.31,1.34,231.1,99.6,67.8,29.2,240113.4,1320.6,2021,"1,249.10","2,305.00","4,916.10",151.5
9787562,Fire Station,1,1973,971.9,1363.2,1361.6,1.4,1.4,1917.3,1915.6,1.97,1.97,148.2,152.5,40.8,42,158032.6,794.3,2021,"1,249.10","2,305.00","4,916.10",151.5
9846129,Fire Station,1,1989,963.3,926.2,934.3,0.96,0.97,1190.1,1198.3,1.24,1.24,84.4,87.6,33.8,35.1,74465.3,658.2,2021,"1,249.10","2,305.00","4,916.10",151.5
9848101,Fire Station,1,1961,793.1,696.4,696.1,0.88,0.88,964.3,964,1.22,1.22,73.5,92.7,21.7,27.3,76298.8,421.7,2021,"1,249.10","2,305.00","4,916.10",151.5
9959373,Fire Station,1,1988,4111,3995.7,4123.1,0.97,1,5408.6,5501.5,1.32,1.34,404,98.3,131,31.9,401447.7,2550.6,2021,"1,249.10","2,305.00","4,916.10",151.5
9988886,Fire Station,1,1970,978.6,1730.4,1741.3,1.77,1.78,2122.7,2133.7,2.17,2.18,143.1,146.3,68.6,70.1,109657.1,1335.6,2021,"1,249.10","2,305.00","4,916.10",151.5
9997794,Fire Station,1,1975,1057.1,949.4,948.2,0.9,0.9,1233.9,1232.6,1.17,1.17,88.6,83.8,33.9,32.1,80399.3,660,2021,"1,249.10","2,305.00","4,916.10",151.5
